Feature ID,NRNS - NRNSA - Expression values,NRNS - NRNSB - Expression values,NRNS - NRNSC - Expression values,NRS - NRSA - Expression values,NRS - NRSB - Expression values,NRS - NRSC - Expression values
Medtr0004s0510,247,193,204,206,243,288
Medtr0004s0530,0,0,0,0,0,0
Medtr0004s0600,311,312,311,316,356,318
Medtr0004s0610,16,25,17,22,26,18
Medtr0004s0650,632,780,676,656,707,866
Medtr0005s0070,0,0,0,0,0,0
Medtr0005s0110,1,0,0,0,0,0
Medtr0005s0130,0,1,1,2,1,2
Medtr0005s0140,0,0,0,0,0,0
Medtr0005s0150,0,0,0,0,0,0
Medtr0005s0160,2,1,0,0,0,0
Medtr0005s0200,88,150,114,95,102,77
Medtr0005s0210,2,2,2,3,2,7
Medtr0005s0220,0,0,0,1,1,0
Medtr0005s0230,0,1,0,0,0,0
Medtr0005s0240,0,0,0,0,0,0
Medtr0005s0250,0,0,0,0,0,0
Medtr0005s0260,0,0,0,0,0,0
Medtr0006s0020,0,0,0,0,0,0
Medtr0006s0080,13,11,8,7,5,11
Medtr0006s0110,2,0,3,2,0,5
Medtr0006s0140,8,7,11,5,4,5
Medtr0006s0160,39,72,56,39,50,22
Medtr0006s0180,0,0,0,0,0,0
Medtr0006s0190,5,6,2,4,6,2
Medtr0006s0210,0,0,0,0,0,0
Medtr0006s0230,26,26,41,31,16,10
Medtr0006s0240,125,130,93,111,148,132
Medtr0006s0250,2,2,3,2,4,3
Medtr0006s0260,0,0,0,0,0,0
Medtr0006s0290,0,0,0,0,0,0
Medtr0006s0300,1,0,0,0,1,0
Medtr0007s0010,0,0,0,0,0,0
Medtr0007s0020,0,0,0,0,0,0
Medtr0007s0030,0,0,0,0,0,0
Medtr0007s0040,0,0,0,0,0,0
Medtr0007s0060,20,19,12,20,6,9
Medtr0007s0070,0,0,0,0,0,0
Medtr0007s0080,0,1,0,0,0,0
Medtr0007s0090,5,4,7,2,7,2
Medtr0007s0140,22,33,34,28,59,40
Medtr0007s0150,0,0,0,0,0,0
Medtr0007s0160,0,0,0,0,0,0
Medtr0007s0220,1,0,0,0,0,1
Medtr0007s0250,0,0,0,0,0,0
Medtr0007s0290,0,0,0,0,0,0
Medtr0007s0310,0,0,0,0,0,0
Medtr0007s0320,0,0,0,0,0,0
Medtr0007s0330,448,610,511,367,479,311
Medtr0007s0380,372,558,498,371,333,261
Medtr0007s0390,286,278,232,298,303,273
Medtr0007s0410,0,0,0,0,0,0
Medtr0007s0440,0,0,0,0,0,0
Medtr0007s0450,0,0,0,0,0,0
Medtr0007s0480,0,0,0,0,0,0
Medtr0007s0520,0,0,0,0,0,0
Medtr0008s0030,0,0,0,0,0,0
Medtr0008s0060,0,0,0,0,0,0
Medtr0008s0110,0,0,0,0,0,0
Medtr0008s0120,0,0,0,0,0,0
Medtr0008s0130,0,0,0,0,0,0
Medtr0008s0160,0,0,0,0,0,0
Medtr0008s0170,0,0,0,0,0,0
Medtr0008s0180,0,0,0,0,0,0
Medtr0008s0210,0,0,0,0,0,0
Medtr0008s0230,0,0,0,0,0,0
Medtr0008s0280,2,7,3,11,10,4
Medtr0008s0310,0,0,0,0,0,0
Medtr0008s0340,0,0,0,0,0,0
Medtr0008s0390,3,5,5,8,9,16
Medtr0008s0430,0,0,0,0,0,0
Medtr0008s0460,0,0,0,0,0,0
Medtr0008s0470,3,0,0,6,6,4
Medtr0009s0020,1,0,0,0,1,0
Medtr0009s0040,0,0,0,0,0,0
Medtr0009s0050,675,751,647,575,705,615
Medtr0009s0080,2,1,1,2,0,0
Medtr0009s0100,0,0,2,0,0,0
Medtr0009s0120,1707,1868,1476,1512,1289,1186
Medtr0009s0150,0,0,0,0,0,0
Medtr0009s0190,0,0,0,0,1,0
Medtr0009s0230,194,164,138,190,142,147
Medtr0009s0240,150,202,206,164,268,241
Medtr0009s0250,1,3,0,1,0,0
Medtr0009s0270,0,0,0,0,0,0
Medtr0009s0290,0,0,0,0,0,0
Medtr0009s0330,0,0,0,0,6,1
Medtr0009s0340,0,0,0,0,0,0
Medtr0009s0350,0,0,0,0,0,0
Medtr0009s0370,375,441,366,411,352,403
Medtr0009s0380,0,1,0,0,3,0
Medtr0009s0390,1419,1182,1333,1205,2298,1514
Medtr0009s0400,2,2,0,2,1,2
Medtr0009s0410,1,0,0,3,0,2
Medtr0009s0480,3117,2129,2135,2935,2759,3548
Medtr0009s0490,0,0,0,0,0,0
Medtr0009s0500,62,79,62,58,90,50
Medtr0010s0050,3,4,3,4,3,3
Medtr0010s0110,0,0,0,0,0,0
Medtr0010s0130,0,0,0,0,0,0
Medtr0010s0190,0,0,0,0,0,0
Medtr0010s0200,0,0,0,0,0,0
Medtr0010s0210,40,34,41,22,55,39
Medtr0010s0220,581,613,608,449,729,496
Medtr0010s0270,0,0,0,0,0,0
Medtr0010s0290,0,0,0,0,0,0
Medtr0010s0310,0,0,0,0,0,0
Medtr0010s0320,0,0,0,0,0,0
Medtr0010s0350,0,0,0,0,0,0
Medtr0010s0360,0,0,0,0,0,0
Medtr0010s0370,0,0,0,0,0,0
Medtr0010s0390,1,0,0,0,0,0
Medtr0010s0400,120,115,151,99,173,145
Medtr0011s0020,421,368,388,218,469,233
Medtr0011s0100,0,0,0,0,0,0
Medtr0011s0210,0,0,0,0,0,0
Medtr0011s0260,0,1,0,0,0,0
Medtr0011s0270,0,0,0,0,0,0
Medtr0011s0280,5,7,2,3,1,2
Medtr0011s0290,5,4,1,5,3,7
Medtr0011s0300,41,33,35,42,57,41
Medtr0011s0310,19,12,13,6,13,10
Medtr0011s0320,693,772,900,472,768,682
Medtr0011s0330,406,326,363,364,629,435
Medtr0012s0070,0,0,0,0,0,0
Medtr0012s0090,328,295,374,277,450,385
Medtr0012s0100,53,48,50,57,60,62
Medtr0012s0110,143,136,130,107,155,105
Medtr0012s0140,0,0,0,0,0,0
Medtr0012s0150,3,4,1,0,2,1
Medtr0012s0160,0,0,0,0,0,0
Medtr0012s0170,0,0,0,0,0,0
Medtr0012s0220,0,0,0,0,0,0
Medtr0012s0240,0,0,0,0,0,0
Medtr0012s0280,0,0,0,0,0,0
Medtr0012s0290,34,58,59,7,33,35
Medtr0013s0060,0,0,0,0,0,0
Medtr0013s0070,0,0,0,0,0,0
Medtr0013s0080,0,0,0,0,0,0
Medtr0013s0100,1,0,0,0,1,0
Medtr0013s0120,44,34,36,34,59,38
Medtr0013s0130,0,0,0,0,0,0
Medtr0013s0150,598,644,609,686,764,782
Medtr0013s0190,0,0,0,0,0,0
Medtr0013s0230,372,316,518,203,543,288
Medtr0013s0270,0,0,0,0,0,0
Medtr0013s0290,0,0,0,0,0,0
Medtr0013s0330,0,0,0,0,0,0
Medtr0013s0400,0,0,0,0,0,0
Medtr0014s0010,0,0,0,0,0,0
Medtr0014s0040,79,80,78,65,79,64
Medtr0014s0110,0,0,0,0,0,0
Medtr0014s0120,0,0,0,0,0,0
Medtr0014s0140,0,0,0,0,0,0
Medtr0014s0150,0,0,0,0,0,0
Medtr0014s0180,4,3,1,2,5,4
Medtr0014s0200,1,2,2,0,1,0
Medtr0014s0210,65,52,64,66,82,63
Medtr0014s0220,0,0,0,0,0,0
Medtr0014s0250,45,33,27,32,36,21
Medtr0014s0260,26,22,18,23,29,19
Medtr0014s0300,2,1,5,4,3,3
Medtr0014s0310,0,1,1,1,2,1
Medtr0014s0350,0,0,0,0,0,0
Medtr0014s0390,0,0,0,0,0,0
Medtr0014s0410,0,0,0,0,0,0
Medtr0014s0420,0,0,0,0,0,0
Medtr0014s0440,453,540,494,698,820,714
Medtr0014s0490,0,0,0,0,0,0
Medtr0015s0020,0,0,0,0,0,0
Medtr0015s0030,16,26,30,36,35,19
Medtr0015s0060,8,4,7,5,11,8
Medtr0015s0090,3,4,8,1,4,1
Medtr0015s0100,0,0,0,0,0,0
Medtr0015s0110,353,350,379,368,445,414
Medtr0015s0120,0,0,0,0,0,0
Medtr0015s0130,547,889,853,515,818,574
Medtr0015s0140,423,596,513,544,628,597
Medtr0015s0160,0,0,0,0,0,0
Medtr0015s0170,0,0,0,0,0,0
Medtr0015s0230,0,0,0,0,0,0
Medtr0016s0010,0,0,0,0,0,0
Medtr0016s0020,15,11,5,10,9,6
Medtr0016s0030,11,17,14,26,17,19
Medtr0016s0040,8,8,7,16,24,34
Medtr0016s0050,0,0,0,2,1,0
Medtr0016s0060,8,5,0,8,8,10
Medtr0016s0150,0,0,0,0,0,0
Medtr0016s0170,49,50,42,55,49,40
Medtr0017s0080,0,0,0,0,0,0
Medtr0017s0090,0,0,0,0,0,0
Medtr0017s0100,1,0,0,1,2,0
Medtr0017s0160,0,0,0,0,0,0
Medtr0017s0190,0,0,0,0,0,0
Medtr0017s0200,0,0,0,1,0,0
Medtr0017s0230,0,0,0,0,0,0
Medtr0017s0240,0,0,0,0,0,0
Medtr0017s0270,0,0,0,0,0,0
Medtr0017s0290,0,0,0,0,0,0
Medtr0018s0050,0,0,0,0,0,0
Medtr0018s0090,994,1064,920,1162,1162,1186
Medtr0018s0170,18,23,26,12,17,17
Medtr0018s0220,7,2,11,6,2,3
Medtr0018s0230,58,73,106,44,38,37
Medtr0018s0240,2,0,2,0,1,1
Medtr0018s0260,856,784,899,804,1046,939
Medtr0018s0290,362,295,318,305,487,354
Medtr0018s0300,0,0,0,0,0,0
Medtr0018s0310,4,11,3,6,5,5
Medtr0018s0320,364,363,326,351,314,327
Medtr0019s0010,61,74,53,58,44,74
Medtr0019s0020,234,263,250,185,175,209
Medtr0019s0040,0,0,0,0,0,0
Medtr0019s0060,0,0,0,0,0,0
Medtr0019s0070,160,154,125,124,140,106
Medtr0019s0080,0,0,0,0,0,0
Medtr0019s0090,0,0,1,0,0,0
Medtr0019s0100,9,16,10,20,13,13
Medtr0019s0110,0,0,0,0,0,0
Medtr0019s0120,525,386,508,440,465,455
Medtr0019s0130,0,0,0,0,0,0
Medtr0019s0150,0,0,0,0,0,0
Medtr0019s0160,150,120,130,128,184,172
Medtr0019s0170,0,0,0,0,0,0
Medtr0019s0180,67,75,78,60,100,96
Medtr0019s0190,2,1,2,4,2,1
Medtr0019s0210,6,12,7,9,15,9
Medtr0019s0270,0,0,0,0,0,0
Medtr0019s0290,0,0,0,0,0,0
Medtr0019s0310,0,0,0,0,0,1
Medtr0019s0320,1,0,0,0,0,0
Medtr0019s0330,0,0,0,0,0,0
Medtr0019s0340,0,0,0,0,0,0
Medtr0020s0020,267,288,309,326,345,371
Medtr0020s0050,0,0,0,0,0,0
Medtr0020s0100,0,0,0,0,0,0
Medtr0020s0120,303,346,170,458,315,340
Medtr0020s0130,738,803,679,736,705,656
Medtr0020s0150,0,0,0,0,0,0
Medtr0020s0170,0,0,0,0,0,0
